,model_name,data_name,mbpp_4shot,math-0shot,gsm8k-4shot,humaneval-0shot,hellaswag-10shot,nq-1shot,BoolQ-5shot,mmlu-5shot,lora,epoch,data_size,lr_strategy,mtbench-total,mtbench-writing,mtbench-roleplay,mtbench-reasoning,mtbench-math,mtbench-coding,mtbench-extraction,mtbench-stem,mtbench-humanities,alpaca_eval_v2-total,mbpp-0shot,gsm8k-0shot,nq-0shot,nq-5shot,nq-25shot,BoolQ-0shot,hellaswag-0shot,mmlu-0shot,Truthful_QA-0shot,LongBench-v2-0shot,jmmlu-0shot,cmmlu-0shot
10,Llama-3-Swallow-8B-v0.1,all,55.64,13.7,51.48,4.88,27.86,17.06,67.19,42.525082872928174,true,3,10000.0,cosine,2.74,2.1,3.6,2.3,1.5,2.9,3.0,2.6,3.9,1.37,46.3,45.26,18.28,18.06,21.19,70.89,19.39,42.81,0.05,,43.04315789473685,39.16089552238805
11,Sarashina2-7B,all,34.24,3.18,18.12,17.68,20.92,15.54,25.99,20.218232044198896,true,6,10000.0,cosine,2.21,1.7,3.4,1.9,1.5,1.9,2.0,2.5,2.8,1.0,31.91,12.05,17.89,13.13,14.6,17.34,13.84,30.723684210526315,0.05,,27.997894736842103,23.082686567164178
12,Sarashina2-7B,all,33.07,2.72,18.27,19.51,20.93,15.32,23.88,19.74082872928177,true,8,10000.0,cosine,2.26,2.4,3.0,1.5,1.5,2.0,2.2,2.1,3.4,1.62,32.68,9.48,17.42,12.63,13.63,15.96,15.03,28.50491228070176,0.04,,27.75842105263158,21.76776119402985
13,Sarashina2-7B,all,31.91,2.56,17.44,20.73,20.94,15.51,23.98,19.37602209944751,true,9,10000.0,cosine,2.35,1.9,3.5,1.6,2.1,1.89,2.1,2.5,3.2,1.12,31.52,9.02,17.29,12.94,13.91,15.38,15.69,28.295438596491227,0.05,,27.81228070175439,20.445223880597013
14,Yi-1.5-9B,all,70.04,31.84,65.28,44.51,79.93,11.61,75.96,57.84817679558012,true,1,10000.0,cosine,3.64,2.6,4.2,3.5,3.4,3.8,3.6,4.0,4.0,5.1,69.65,55.19,12.19,8.56,7.45,71.22,79.54,62.40736842105264,0.09,,44.97842105263158,66.97925373134329
15,Yi-1.5-9B,all,67.7,16.98,60.2,33.54,69.55,14.96,38.13,43.29287292817679,true,10,10000.0,cosine,4.2,3.0,4.6,3.1,3.0,4.8,4.9,4.8,5.4,5.47,69.65,37.98,15.21,7.76,7.4,76.91,64.08,55.65245614035088,0.07,,44.54982456140351,37.82746268656715
16,Yi-1.5-9B,all,69.65,25.88,63.68,16.46,80.73,13.49,82.81,58.075248618784535,true,2,10000.0,cosine,3.4,1.7,3.5,3.3,3.9,3.5,3.9,3.3,4.1,3.98,70.82,42.91,14.65,8.53,6.73,73.55,80.07,61.205438596491234,0.12,,44.94105263157896,65.95731343283582
17,Yi-1.5-9B,all,68.09,21.0,65.96,49.39,80.83,14.76,77.4,58.01591160220994,true,3,10000.0,cosine,3.48,2.8,4.5,3.5,3.0,3.9,2.9,3.6,3.6,3.11,70.43,50.87,17.7,8.31,7.26,81.68,81.09,60.62666666666667,0.11,,47.52754385964913,64.74358208955223
18,Sarashina2-7B,all,33.07,3.28,16.6,14.02,18.09,15.37,29.97,17.989337016574588,true,5,10000.0,cosine,2.19,1.7,2.8,1.7,1.5,1.9,2.1,2.8,3.0,0.75,35.02,11.45,17.15,13.35,13.96,25.35,12.71,28.06824561403509,0.05,,23.94,20.67686567164179
19,Meta-Llama-3-8B,all,61.87,14.7,49.28,12.8,32.88,19.11,56.06,37.536132596685086,true,4,10000.0,cosine,2.96,2.8,3.2,2.1,1.3,2.33,3.7,3.7,4.5,1.49,57.98,34.19,26.98,20.75,23.52,53.94,18.11,47.94491228070176,0.07,,40.898947368421055,19.233731343283576
20,Meta-Llama-3-8B,all,61.48,13.76,52.01,13.41,28.51,21.83,60.18,44.05773480662983,true,3,10000.0,cosine,2.81,2.8,3.0,2.0,1.2,3.44,3.1,3.1,3.9,1.12,29.57,38.51,23.55,22.94,25.84,63.3,13.23,46.48859649122808,0.06,,40.88684210526316,36.61970149253731
21,Meta-Llama-3-8B,all,59.53,11.98,51.86,47.56,31.63,22.88,42.91,37.11911602209945,true,2,10000.0,cosine,3.24,4.1,3.1,1.8,1.2,3.2,4.7,3.4,4.4,2.36,63.81,28.05,19.25,24.9,27.67,55.47,19.6,42.207894736842114,0.09,,37.96385964912281,21.632985074626863
22,Meta-Llama-3-8B,all,60.7,11.44,47.61,17.07,32.18,22.58,43.06,36.64812154696132,true,6,10000.0,cosine,3.27,4.3,3.7,2.44,1.7,2.7,2.8,3.7,4.7,2.74,61.48,36.69,21.39,23.05,25.48,52.97,14.34,46.65228070175439,0.07,,39.90280701754385,17.365074626865674
23,Sarashina2-7B,all,33.07,3.22,16.07,19.51,21.0,15.26,29.11,20.89845303867403,true,7,10000.0,cosine,2.3,2.5,3.1,1.5,1.7,1.8,2.2,2.4,3.2,1.0,33.07,9.93,17.51,12.88,13.71,15.6,15.75,28.72052631578948,0.05,,28.151403508771928,24.49671641791045
24,llama-3-chinese-8b,all,57.98,11.62,46.17,7.93,22.56,15.71,58.1,40.447679558011046,true,3,10000.0,cosine,2.64,2.6,3.6,1.8,1.5,2.8,3.5,2.5,2.8,1.62,56.81,33.89,18.03,24.63,22.3,70.28,8.89,43.240175438596495,0.07,,32.67614035087719,39.75059701492538
25,llama-3-chinese-8b,all,56.81,10.74,46.1,36.59,22.48,15.4,53.94,38.77773480662984,true,5,10000.0,cosine,3.2,3.0,3.2,2.2,1.8,3.6,4.2,3.6,4.0,1.49,57.2,33.13,20.19,22.8,20.97,60.03,14.93,40.61368421052632,0.06,,32.42157894736842,36.41716417910448
26,llama-3-chinese-8b,all,50.97,9.24,45.79,21.95,27.33,15.32,49.69,37.86038674033149,true,7,10000.0,cosine,3.3,2.8,3.9,3.1,2.1,3.6,3.7,3.7,3.5,2.49,53.7,25.55,20.44,21.44,19.75,57.74,18.01,40.30649122807017,0.06,,33.47157894736842,37.12552238805971
27,llama-3-chinese-8b,all,51.75,8.28,44.73,15.85,28.23,15.07,47.43,38.82690607734806,true,8,10000.0,cosine,3.11,2.4,3.8,2.3,1.4,3.89,3.4,3.9,3.9,1.87,52.92,26.84,20.53,20.55,19.61,54.74,20.96,40.84473684210526,0.06,,34.197719298245616,38.31940298507463
28,llama-3-chinese-8b,all,50.97,7.9,43.82,16.46,29.09,14.35,47.71,38.57883977900553,true,9,10000.0,cosine,3.56,3.1,4.3,2.4,1.7,3.33,4.1,4.4,5.1,1.74,50.97,24.94,20.06,20.0,19.14,53.76,20.23,39.90754385964912,0.06,,34.02842105263158,38.25119402985074
29,llama-3-chinese-8b,all,54.47,9.0,44.66,10.98,32.51,17.59,59.27,41.290220994475135,false,5,10000.0,cosine,3.6,3.8,3.8,2.8,1.2,3.6,3.7,4.6,5.3,3.27,50.19,34.34,21.61,22.11,16.7,21.62,13.44,43.85280701754386,0.07,,39.01052631578947,31.683283582089555
30,Chinese-Mistral-7B-v0.1,all,44.75,4.34,40.79,16.46,30.54,17.89,56.06,32.53629834254144,true,10,10000.0,cosine,3.29,3.7,4.0,2.5,1.8,2.6,2.8,4.3,4.6,1.87,39.3,12.51,21.72,20.03,19.58,45.2,15.04,39.29333333333333,0.06,,32.1859649122807,29.8379104477612
31,Chinese-Mistral-7B-v0.1,all,45.53,4.4,42.46,32.93,17.23,16.62,6.45,18.04458563535912,true,2,10000.0,cosine,2.6,2.1,3.2,2.1,1.7,2.5,2.9,2.9,3.4,1.12,47.47,9.93,21.52,15.87,17.48,58.78,22.48,39.26859649122806,0.09,,33.05035087719298,20.46880597014925
32,Chinese-Mistral-7B-v0.1,all,47.47,5.48,43.52,22.56,22.34,16.76,5.17,18.43828729281768,true,3,10000.0,cosine,2.91,1.8,3.7,2.5,1.4,2.89,3.5,2.9,4.6,0.75,48.25,21.08,22.24,20.61,19.34,17.61,9.42,37.83456140350877,0.09,,32.995438596491226,19.776865671641787
33,Chinese-Mistral-7B-v0.1,all,47.08,5.26,42.76,19.51,25.3,16.51,10.89,20.555469613259667,true,4,10000.0,cosine,3.09,3.5,3.2,2.5,1.5,2.7,3.4,3.1,4.8,1.49,43.97,14.4,23.3,18.92,18.23,17.8,9.19,39.28122807017544,0.08,,33.49368421052632,19.414626865671643
34,Chinese-Mistral-7B-v0.1,all,48.25,5.44,41.32,19.51,24.59,16.62,35.29,24.89414364640884,true,5,10000.0,cosine,3.38,2.6,4.8,2.3,2.6,3.3,3.0,3.9,4.5,2.24,43.97,24.03,22.69,19.17,19.17,43.06,10.79,44.320350877192986,0.07,,33.563508771929826,25.261641791044777
35,Chinese-Mistral-7B-v0.1,all,49.03,5.5,41.02,16.46,29.11,17.67,50.34,30.020607734806628,true,6,10000.0,cosine,3.44,3.7,4.9,2.3,1.6,3.1,2.5,3.9,5.5,2.86,44.36,20.62,23.13,20.53,19.86,43.43,12.98,42.177894736842106,0.07,,34.03087719298246,30.48985074626865
36,Chinese-Mistral-7B-v0.1,all,47.86,5.64,41.77,14.02,29.7,17.84,55.5,30.72966850828729,true,7,10000.0,cosine,3.42,2.7,5.1,2.6,1.7,2.6,3.2,3.6,5.9,2.61,41.63,15.92,22.41,20.69,19.67,40.46,13.58,42.3198245614035,0.06,,33.05578947368421,28.53537313432836
37,Chinese-Mistral-7B-v0.1,all,46.3,5.24,39.8,17.07,29.05,18.03,56.61,31.43944751381216,true,8,10000.0,cosine,3.58,3.2,5.0,2.0,2.8,3.5,3.3,3.5,5.3,1.62,40.86,14.03,21.83,20.75,19.45,42.72,13.71,39.78684210526316,0.06,,32.826491228070175,29.61820895522388
38,Chinese-Mistral-7B-v0.1,all,45.14,4.96,40.94,17.68,30.1,18.17,57.4,32.28812154696132,true,9,10000.0,cosine,3.11,2.9,3.8,2.5,1.6,2.89,2.9,3.9,4.4,2.24,40.86,11.83,21.66,20.39,19.86,44.46,15.11,39.88754385964912,0.06,,32.080350877192984,29.95328358208955
39,Meta-Llama-3-8B,all,61.48,12.34,49.36,22.56,32.01,21.99,6.33,32.24022099447514,true,1,10000.0,cosine,2.92,3.2,3.9,1.5,1.3,2.6,3.2,2.7,5.0,2.49,42.8,30.25,16.45,23.74,27.42,11.83,11.2,42.60192982456141,0.08,,35.21964912280702,22.215671641791044
40,Meta-Llama-3-8B,all,56.42,9.56,43.59,6.1,31.38,18.61,37.28,36.99055248618784,true,10,10000.0,cosine,3.35,3.1,3.3,3.1,2.0,3.1,3.3,3.9,5.0,2.0,53.7,25.09,20.06,21.33,24.07,46.33,13.17,44.94228070175439,0.06,,37.99736842105263,21.914776119402983
41,Yi-1.5-9B,all,70.82,19.06,63.76,35.98,77.98,14.76,63.64,52.84458563535911,true,4,10000.0,cosine,3.81,2.7,4.3,3.9,3.0,4.0,4.5,3.6,4.5,2.86,71.98,39.12,16.9,7.26,7.06,82.11,76.72,59.462631578947374,0.11,,47.88649122807018,51.69313432835821
42,llama-3-chinese-8b,all,57.98,11.24,44.81,36.59,20.53,12.08,47.89,37.465303867403314,true,2,10000.0,cosine,2.52,2.2,2.7,2.3,1.3,2.5,3.0,3.1,3.1,1.25,55.25,25.09,14.21,21.69,19.42,11.04,14.9,40.98350877192981,0.07,,29.202280701754383,34.53507462686568
43,Yi-1.5-9B,all,66.93,18.44,60.2,20.73,72.51,15.07,38.65,44.10751381215469,true,7,10000.0,cosine,4.19,3.5,4.1,3.8,3.6,4.8,5.5,4.4,3.8,4.98,70.82,32.37,15.84,7.17,7.09,77.74,69.3,58.336315789473694,0.09,,45.61087719298245,36.24149253731344
44,Llama-3-Swallow-8B-v0.1,all,50.58,9.8,44.88,0.0,35.68,14.27,57.06,39.532154696132594,true,10,10000.0,cosine,3.53,3.2,4.6,2.67,1.7,3.44,3.2,4.0,5.3,2.24,7.0,22.67,19.42,20.83,21.97,58.72,17.51,46.276315789473685,0.04,,38.105964912280704,32.00970149253731
45,Llama-3-Swallow-8B-v0.1,all,55.25,11.78,52.08,32.93,30.53,17.48,67.0,41.46508287292818,true,2,10000.0,cosine,2.76,2.1,2.6,2.4,1.8,3.0,2.7,3.1,4.4,2.24,58.75,38.13,19.56,18.03,20.11,69.02,21.88,42.79684210526315,0.07,,40.97526315789474,37.75134328358209
46,llama-3-chinese-8b,all,53.7,9.58,46.78,28.05,23.67,17.42,52.26,39.05624309392265,true,6,10000.0,cosine,3.16,2.8,4.2,2.3,1.5,3.8,2.7,4.1,3.9,2.24,54.86,31.99,21.63,23.99,22.91,55.38,18.0,41.55263157894737,0.06,,33.28263157894737,36.711194029850745
47,llama-3-chinese-8b,all,57.98,10.82,45.56,23.17,23.56,13.82,49.14,37.67580110497237,true,4,10000.0,cosine,2.67,2.5,3.2,2.0,1.4,2.5,3.3,3.0,3.5,1.37,58.75,31.92,20.64,20.17,20.75,57.77,11.26,42.42035087719298,0.05,,29.24473684210526,37.5168656716418
48,Llama-3-Swallow-8B-v0.1,all,55.64,14.52,48.82,3.05,34.83,16.54,64.89,42.01745856353591,true,4,10000.0,cosine,2.92,2.4,3.6,2.3,1.5,2.7,3.2,2.7,5.0,2.49,57.59,39.65,20.53,16.76,21.36,65.17,21.18,48.39052631578947,0.06,,40.40473684210527,38.3441791044776
49,Chinese-Mistral-7B-v0.1,all,47.47,6.38,42.15,15.24,20.27,16.79,2.14,10.610276243093924,true,1,10000.0,cosine,2.39,2.1,2.8,1.9,1.3,2.8,2.5,2.3,3.4,1.0,44.75,30.1,13.85,14.46,14.13,24.19,11.44,32.599122807017544,0.07,,28.99543859649123,3.871343283582089
50,Llama-3-Swallow-8B-v0.1,all,55.25,11.84,48.82,1.22,34.36,13.82,65.9,41.60723756906077,true,6,10000.0,cosine,3.73,5.0,3.7,2.6,1.6,3.8,4.6,4.0,4.5,1.37,7.0,29.19,19.31,20.33,23.07,64.59,18.39,48.06631578947368,0.06,,40.34543859649122,35.055820895522395
51,Llama-3-Swallow-8B-v0.1,all,55.25,10.6,47.99,0.0,34.2,14.32,63.39,41.33364640883978,true,7,10000.0,cosine,3.26,2.2,4.2,2.3,2.5,3.1,3.1,3.6,5.1,2.61,4.28,25.63,19.53,21.5,22.8,65.32,18.88,48.48719298245615,0.05,,41.48157894736842,33.60268656716418
52,Llama-3-Swallow-8B-v0.1,all,54.47,10.26,46.25,0.0,36.15,14.49,58.35,40.75911602209945,true,8,10000.0,cosine,3.77,4.0,4.9,2.7,2.8,2.9,3.9,3.7,5.3,2.11,8.17,23.58,20.28,20.89,22.11,61.1,18.58,47.66754385964913,0.05,,40.07456140350878,33.48522388059701
53,Llama-3-Swallow-8B-v0.1,all,50.58,9.84,44.5,0.61,35.5,14.21,57.71,39.71966850828729,true,9,10000.0,cosine,3.61,3.0,3.9,2.4,2.0,3.7,4.3,4.0,5.6,2.61,7.78,21.46,19.5,20.55,21.99,59.72,17.76,46.7938596491228,0.04,,38.14964912280702,32.531641791044784
54,Qwen2.5-7B,all,54.09,30.64,62.47,6.1,80.81,18.89,82.57,53.544088397790055,true,10,10000.0,cosine,4.09,2.9,5.1,3.4,4.1,4.0,4.7,4.3,4.2,4.48,44.75,50.72,20.91,23.68,23.38,6.51,73.96,50.48982456140351,0.06,,55.76929824561403,41.371044776119405
55,Qwen2.5-7B,all,68.48,41.3,73.01,4.88,84.66,18.42,75.87,54.473922651933705,true,2,10000.0,cosine,4.42,4.0,4.8,3.4,4.7,3.7,4.9,4.8,5.1,5.35,66.15,75.89,17.37,26.4,23.66,5.84,83.84,58.15333333333333,0.05,,50.41456140350877,50.39059701492537
56,Qwen2.5-7B,all,66.15,39.54,71.34,0.0,85.1,19.06,80.8,56.36370165745856,true,3,10000.0,cosine,4.17,3.3,5.2,3.0,3.4,3.7,4.8,4.5,5.5,4.98,47.86,71.95,18.61,25.96,24.82,5.99,84.69,57.3380701754386,0.07,,52.80578947368421,52.65253731343284
57,Qwen2.5-7B,all,60.7,39.02,72.93,10.98,85.37,19.28,75.29,52.487513812154695,true,4,10000.0,cosine,3.89,3.2,4.6,2.7,3.2,3.4,4.0,4.6,5.4,3.36,43.97,71.8,18.81,26.18,24.71,5.38,81.69,55.767017543859644,0.06,,55.76280701754386,38.93044776119403
58,Qwen2.5-7B,all,61.87,36.38,67.93,6.71,84.6,19.28,83.55,52.687182320441984,true,5,10000.0,cosine,3.95,2.3,4.3,3.5,2.8,3.8,5.3,4.5,5.1,3.36,43.97,64.22,21.39,25.26,24.9,4.74,76.1,53.75157894736843,0.05,,54.94070175438596,39.89970149253732
59,Qwen2.5-7B,all,62.26,34.62,68.01,2.44,83.65,19.53,83.39,50.35292817679559,true,6,10000.0,cosine,3.76,2.8,3.5,3.1,4.1,3.2,4.7,4.1,4.6,3.48,44.36,60.35,22.3,25.12,24.76,4.71,78.11,52.54543859649122,0.07,,56.208245614035086,31.947164179104472
60,Qwen2.5-7B,all,43.97,33.84,65.88,3.66,82.35,19.14,83.06,49.897845303867406,true,7,10000.0,cosine,3.73,2.8,4.0,3.2,3.4,3.3,4.7,4.6,3.8,4.23,47.47,51.93,22.94,24.82,24.27,4.86,74.48,51.58684210526315,0.06,,55.66736842105263,31.80522388059701
61,Llama-3-Swallow-8B-v0.1,all,55.25,13.96,50.72,17.07,33.94,14.52,27.43,34.256408839779006,true,1,10000.0,cosine,2.69,3.0,2.4,1.5,1.5,2.4,2.8,3.9,4.0,1.99,8.17,36.92,12.11,15.57,21.39,65.11,21.25,34.54912280701755,0.07,,36.097719298245615,35.84119402985074
62,Qwen2.5-7B,all,68.48,49.1,77.18,7.93,67.33,17.01,11.31,52.41524861878453,true,1,10000.0,cosine,4.7,4.6,5.4,3.5,3.5,3.7,6.0,4.5,6.4,5.72,59.53,78.01,13.43,25.73,22.83,5.35,76.88,54.08228070175439,0.05,,49.182631578947365,50.363432835820895
63,Qwen2.5-7B,all,56.03,32.32,62.77,4.88,81.6,19.0,83.03,52.95546961325967,true,8,10000.0,cosine,3.56,2.6,3.5,3.2,3.8,3.6,3.6,3.9,4.3,3.98,42.41,53.53,21.77,24.35,24.07,5.05,74.43,51.8680701754386,0.07,,55.96666666666667,39.51417910447761
64,Gemma2-9B,all,57.59,15.22,47.84,24.39,29.73,20.69,39.69,42.64546961325967,true,10,10000.0,cosine,4.22,4.2,5.3,3.8,3.3,3.6,3.3,4.8,5.5,3.88,47.86,14.18,23.32,17.76,13.55,54.56,44.78,58.31263157894737,0.03,,54.51929824561404,27.78611940298508
65,Yi-1.5-9B,all,66.15,17.14,61.33,34.76,69.29,14.82,36.54,43.583093922651926,true,9,10000.0,cosine,4.3,2.6,5.0,4.4,3.0,5.1,4.4,4.7,5.2,5.35,69.65,37.38,15.18,7.53,7.84,76.67,64.59,56.003157894736844,0.07,,45.30491228070175,37.90537313432836
66,Gemma2-9B,all,61.87,22.78,66.64,49.39,25.0,12.27,0.03,36.73066298342541,true,1,10000.0,cosine,3.42,2.5,4.7,2.0,2.0,3.1,4.2,4.1,4.8,,55.25,46.1,13.91,8.42,9.14,19.39,39.61,67.16228070175438,0.06,,55.761929824561406,51.62641791044776
67,LLM-jp-3-7B,all,10.51,1.32,15.92,1.22,28.71,9.42,61.1,23.789281767955803,true,7,10000.0,cosine,2.17,1.7,2.2,1.7,1.5,1.7,2.3,2.9,3.4,0.75,12.06,4.4,13.52,12.13,7.37,62.02,17.19,28.68947368421053,0.06,,28.19543859649123,15.56537313432836
68,LLM-jp-3-7B,all,10.89,1.74,14.48,0.61,28.41,10.55,60.12,25.221823204419888,true,8,10000.0,cosine,2.36,2.3,4.0,2.1,1.2,1.5,2.2,2.7,2.9,1.0,12.06,7.2,13.35,12.58,8.25,60.31,17.02,29.0240350877193,0.06,,29.11877192982456,17.36059701492537
69,LLM-jp-3-7B,all,9.73,1.64,15.31,3.05,28.2,10.94,59.33,24.85944751381216,true,9,10000.0,cosine,2.1,1.8,2.4,2.4,1.4,1.5,1.8,2.4,3.1,1.12,12.84,5.16,13.52,12.96,8.95,60.4,17.39,29.36877192982456,0.06,,29.19982456140351,16.78208955223881
70,Yi-1.5-9B,all,68.09,17.82,61.79,34.76,71.37,15.29,37.74,45.53552486187844,true,8,10000.0,cosine,3.8,2.7,3.9,3.1,3.2,3.78,4.4,4.5,4.8,6.22,71.21,36.39,15.65,7.65,7.73,76.97,67.03,56.887192982456135,0.08,,45.5740350877193,41.08358208955224
71,Gemma2-9B,all,66.15,15.42,66.11,54.27,25.01,15.26,0.73,42.85983425414364,true,2,10000.0,cosine,3.41,2.6,3.3,2.3,3.2,3.2,4.2,3.7,4.8,,63.42,26.69,21.88,9.45,9.72,67.0,51.67,67.24912280701754,0.08,,58.60438596491228,53.014477611940286
72,Gemma2-9B,all,62.26,15.34,67.1,29.27,24.93,18.59,10.52,42.72138121546961,true,4,10000.0,cosine,3.94,3.0,4.4,2.9,2.5,4.0,4.2,4.5,6.0,,61.09,18.73,22.6,12.44,10.72,64.68,52.5,64.70508771929825,0.06,,59.43280701754386,42.23985074626866
73,Gemma2-9B,all,61.48,17.02,66.19,32.93,24.92,19.25,2.08,45.9242541436464,true,3,10000.0,cosine,3.67,3.9,3.9,3.1,2.0,3.67,3.3,4.5,5.0,,14.79,8.19,25.12,11.91,10.19,58.56,64.42,65.05315789473684,0.06,,58.327543859649126,52.48820895522388
74,llama-3-chinese-8b,all,50.19,7.66,41.39,12.8,31.13,15.71,50.28,40.92022099447514,false,8,10000.0,cosine,3.83,3.7,5.0,2.7,1.7,3.1,3.6,5.0,5.8,3.24,44.75,20.55,20.69,19.42,14.99,22.08,16.41,42.83491228070175,0.07,,37.75473684210526,32.48119402985074
75,Gemma2-9B,all,59.14,15.0,63.0,22.56,26.59,19.14,4.34,45.70171270718232,true,5,10000.0,cosine,3.65,3.6,3.3,3.6,2.1,3.4,3.6,4.6,5.0,2.99,19.07,21.91,22.16,13.82,11.33,54.04,50.96,63.70719298245614,0.06,,58.10666666666666,33.47552238805971
76,Gemma2-9B,all,56.42,15.34,59.82,30.49,26.99,20.5,38.44,43.49077348066299,true,7,10000.0,cosine,4.08,5.2,3.5,2.4,3.4,4.3,2.7,5.0,6.1,3.88,46.3,18.57,23.32,16.98,12.74,54.8,49.05,59.74350877192983,0.04,,56.79385964912281,27.483731343283583
77,Gemma2-9B,all,57.2,15.52,55.88,27.44,28.18,20.33,35.96,43.61850828729282,true,8,10000.0,cosine,3.95,5.0,4.0,2.8,2.5,3.4,4.0,4.5,5.4,3.38,45.91,17.29,22.6,17.04,13.05,54.74,45.15,58.58228070175438,0.05,,55.648421052631576,29.203731343283582
78,Gemma2-9B,all,57.2,14.7,50.8,26.22,28.79,20.5,37.95,42.89872928176796,true,9,10000.0,cosine,3.91,4.8,3.9,2.8,3.0,3.4,3.7,4.7,5.0,4.13,46.69,15.92,23.07,17.89,13.55,55.32,46.33,58.55245614035088,0.04,,54.79684210526316,28.415671641791043
79,LLM-jp-3-7B,all,6.61,1.26,10.54,1.22,27.2,3.74,55.63,16.436906077348066,true,1,10000.0,cosine,1.88,1.5,2.7,1.6,1.3,1.5,2.3,2.1,2.0,0.75,7.0,7.66,16.68,5.01,4.96,62.23,23.32,27.14456140350877,0.08,,23.25649122807017,19.42373134328358
80,LLM-jp-3-7B,all,10.12,1.38,15.24,2.44,28.23,10.75,60.37,25.27895027624309,true,10,10000.0,cosine,2.26,1.9,3.0,1.7,1.3,1.5,2.0,2.9,3.8,1.12,12.06,5.61,13.16,13.13,8.84,60.24,17.44,29.36473684210526,0.06,,29.570350877192983,17.25074626865672
81,LLM-jp-3-7B,all,8.56,0.94,11.98,5.49,27.79,4.1,47.4,18.51779005524862,true,2,10000.0,cosine,1.93,1.9,2.9,1.7,1.2,1.5,2.1,1.9,2.2,0.25,10.12,3.71,16.23,1.52,1.08,62.2,27.16,28.501052631578947,0.09,,26.73192982456141,16.32955223880597
